ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,REVISED_DISTANCE,LATITUDE_ORIGIN,LONGITUDE_ORIGIN,LATITUDE_DEST,LONGITUDE_DEST
1430706,1625706,1849,41.72222222,-71.42777778,51.1225,-114.01333333
1520502,1054902,649,41.41472222,19.72055556,52.51166667,13.40138889
1520502,1105703,5136,41.41472222,19.72055556,35.21361111,-80.94916667
1520502,1281902,4332,41.41472222,19.72055556,55.35416667,-131.71111111
1520502,1304308,2247,41.41472222,19.72055556,6.57861111,3.3225
1520502,1326404,5372,41.41472222,19.72055556,42.375,-122.87333333
1520502,1405702,6980,41.41472222,19.72055556,45.58861111,-122.59694444
1520502,1430706,3641,41.41472222,19.72055556,41.72222222,-71.42777778
1520502,1625706,4309,41.41472222,19.72055556,51.1225,-114.01333333
1531503,1520502,570,37.9125,12.48833333,41.41472222,19.72055556
1599102,1105703,2682,59.50333333,-139.66027778,35.21361111,-80.94916667
1599102,1155502,484,59.50333333,-139.66027778,60.57333333,-151.24472222
1599102,1281902,374,59.50333333,-139.66027778,55.35416667,-131.71111111
1599102,1326404,1405,59.50333333,-139.66027778,42.375,-122.87333333
1599102,1328907,2960,59.50333333,-139.66027778,26.51,-77.085
1599102,1405702,1400,59.50333333,-139.66027778,45.58861111,-122.59694444
1625706,1054902,4511,51.1225,-114.01333333,52.51166667,13.40138889
1625706,1068503,1622,51.1225,-114.01333333,40.47722222,-88.91583333
1625706,1072805,1314,51.1225,-114.01333333,29.95083333,-94.02083333
1625706,1105703,2120,51.1225,-114.01333333,35.21361111,-80.94916667
1625706,1155502,1693,51.1225,-114.01333333,60.57333333,-151.24472222
1625706,1281902,778,51.1225,-114.01333333,55.35416667,-131.71111111
1625706,1304308,6442,51.1225,-114.01333333,6.57861111,3.3225
1625706,1326404,746,51.1225,-114.01333333,42.375,-122.87333333
1625706,1328907,2561,51.1225,-114.01333333,26.51,-77.085
1625706,1329605,2521,51.1225,-114.01333333,42.93277778,-71.43583333
1625706,1351404,2361,51.1225,-114.01333333,25.77861111,-100.10694444
1625706,1405702,454,51.1225,-114.01333333,45.58861111,-122.59694444
1625706,1430706,2262,51.1225,-114.01333333,41.72222222,-71.42777778
1625706,1520502,5273,51.1225,-114.01333333,41.41472222,19.72055556
1625706,1531503,4919,51.1225,-114.01333333,37.9125,12.48833333
1625706,1599102,1097,51.1225,-114.01333333,59.50333333,-139.66027778
